original_title,id,weighted_rating
Avatar,19995,7.134952134635892
Pirates of the Caribbean: At World's End,285,6.7865321981856805
Spectre,206647,6.270829708464976
The Dark Knight Rises,49026,7.487180615431248
John Carter,49529,6.0985016208273635
Spider-Man 3,559,5.933200970904718
Tangled,38757,7.163235989673633
Avengers: Age of Ultron,99861,7.181499418748418
Harry Potter and the Half-Blood Prince,767,7.240305511648703
Batman v Superman: Dawn of Justice,209112,5.737552462442356
Superman Returns,1452,5.639514567484211
Quantum of Solace,10764,6.098841968399054
Pirates of the Caribbean: Dead Man's Chest,58,6.888353369766441
The Lone Ranger,57201,5.9469779852378215
Man of Steel,49521,6.4578260252233495
The Chronicles of Narnia: Prince Caspian,2454,6.235886964307285
The Avengers,24428,7.323040107723459
Pirates of the Caribbean: On Stranger Tides,1865,6.360331085743998
Men in Black 3,41154,6.184065827054109
The Hobbit: The Battle of the Five Armies,122917,6.965068192450659
The Amazing Spider-Man,1930,6.459133254317949
Robin Hood,20662,6.163456983375088
The Hobbit: The Desolation of Smaug,57158,7.388931367100161
The Golden Compass,2268,5.906328050966675
King Kong,254,6.478667226540088
Titanic,597,7.375078304475871
Captain America: Civil War,271110,7.007026682709469
Battleship,44833,5.653677849551991
Jurassic World,135397,6.468159198680515
Skyfall,37724,6.828755306359469
Spider-Man 2,558,6.61167586992142
Iron Man 3,68721,6.745456319798554
Alice in Wonderland,12155,6.358097981978171
X-Men: The Last Stand,36668,6.264390003049267
Monsters University,62211,6.843385860508147
Transformers: Revenge of the Fallen,8373,6.017923464842601
Transformers: Age of Extinction,91314,5.856611190606
Oz: The Great and Powerful,68728,5.76812241077856
The Amazing Spider-Man 2,102382,6.4391258797920266
TRON: Legacy,20526,6.257583453401565
Cars 2,49013,5.878311636165854
Green Lantern,44912,5.327387932391843
Toy Story 3,10193,7.391819737182023
Terminator Salvation,534,5.94474687954929
Furious 7,168259,7.119011374376208
World War Z,72190,6.629053177927352
X-Men: Days of Future Past,127585,7.346844285101927
Star Trek Into Darkness,54138,7.213201898554456
Jack the Giant Slayer,81005,5.631378320490931
The Great Gatsby,64682,7.10266556928825
Prince of Persia: The Sands of Time,9543,6.174451592076444
Pacific Rim,68726,6.619228489197776
Transformers: Dark of the Moon,38356,6.098937789668648
Indiana Jones and the Kingdom of the Crystal Skull,217,5.789934226758701
The Good Dinosaur,105864,6.449186330300181
Brave,62177,6.616930814910756
Star Trek Beyond,188927,6.487146388745272
WALL·E,10681,7.6211363315557685
Rush Hour 3,5174,6.097180130218678
2012,14161,5.664615262476287
A Christmas Carol,17979,6.3964324081841735
Jupiter Ascending,76757,5.388122204535016
The Legend of Tarzan,258489,5.638346452406473
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,6.567284238228873
X-Men: Apocalypse,246655,6.358681393789045
The Dark Knight,155,8.07809273425154
Up,14160,7.544326307985212
Monsters vs Aliens,15512,6.032151070584355
Iron Man,1726,7.2987714708569404
Hugo,44826,6.767921621677089
Wild Wild West,8487,5.517190547935988
The Mummy: Tomb of the Dragon Emperor,1735,5.5104082786526245
Suicide Squad,297761,5.917474515038436
Evan Almighty,2698,5.610146882709822
Edge of Tomorrow,137113,7.401530227503797
Waterworld,9804,5.982805659437698
G.I. Joe: The Rise of Cobra,14869,5.735011071679014
Inside Out,150540,7.807394640355944
The Jungle Book,278927,6.576901057445241
Iron Man 2,10138,6.550828760033942
Snow White and the Huntsman,58595,5.856273476331863
Maleficent,102651,6.872353566064297
Dawn of the Planet of the Apes,119450,7.12723892918844
The Lovers,79698,6.037151507449773
47 Ronin,64686,5.96940265955779
Captain America: The Winter Soldier,100402,7.429187477966238
Shrek Forever After,10192,6.025760203225478
Tomorrowland,158852,6.1782230746469935
Big Hero 6,177572,7.616946145943616
Wreck-It Ralph,82690,6.960237849834668
The Polar Express,5255,6.298016001807596
Independence Day: Resurgence,47933,5.172793058075732
How to Train Your Dragon,10191,7.291159711551516
Terminator 3: Rise of the Machines,296,5.9497178920317655
Guardians of the Galaxy,118340,7.772914966171811
Interstellar,157336,7.972524657503339
Inception,27205,7.997906234721523
シン・ゴジラ,315011,6.160093569559908
The Hobbit: An Unexpected Journey,49051,6.926057046654214
The Fast and the Furious,9799,6.510445897970832
The Curious Case of Benjamin Button,4922,7.079305717334037
X-Men: First Class,49538,6.974666281658782
The Hunger Games: Mockingjay - Part 2,131634,6.520991716191358
The Sorcerer's Apprentice,27022,5.898284207473386
Poseidon,503,5.831853379778492
Alice Through the Looking Glass,241259,6.378461883450761
Shrek the Third,810,6.023035114573869
Warcraft,68735,6.249496718681583
Terminator Genisys,87101,5.849665191255007
The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,6.16533972373862
Pearl Harbor,676,6.452466833299387
Transformers,1858,6.521917820616954
Alexander,1966,5.818962083507059
Harry Potter and the Order of the Phoenix,675,7.245456533418519
Harry Potter and the Goblet of Fire,674,7.336610572531321
Hancock,8960,6.178900199539678
I Am Legend,6479,6.79369687648645
Charlie and the Chocolate Factory,118,6.597561019832053
Ratatouille,2062,7.29696707882062
Batman Begins,272,7.371946197492435
Madagascar: Escape 2 Africa,10527,6.169366982530913
Night at the Museum: Battle of the Smithsonian,18360,5.952875166327303
X-Men Origins: Wolverine,2080,6.183600375748135
The Matrix Revolutions,605,6.341166659188079
Frozen,109445,7.152583901864484
The Matrix Reloaded,604,6.593125795478411
Thor: The Dark World,76338,6.705227562675922
Mad Max: Fury Road,76341,7.119766086673963
Angels & Demons,13448,6.395591274375545
Thor,10195,6.548635096454045
Bolt,13053,6.238979854471357
G-Force,19585,5.6877454012004005
Wrath of the Titans,57165,5.702080879869726
Dark Shadows,62213,5.795081729516761
Mission: Impossible - Rogue Nation,177677,6.912750823677269
The Wolfman,7978,5.8406236984045865
Bee Movie,5559,5.852325065757139
Kung Fu Panda 2,49444,6.529307502577841
The Last Airbender,10196,5.244459829492984
Mission: Impossible III,956,6.3917781189649245
White House Down,117251,6.314195315958722
Mars Needs Moms,50321,5.96792566790977
Flushed Away,11619,6.043104181196091
Pan,266647,5.984665910728643
Mr. Peabody & Sherman,82703,6.417312488451439
Troy,652,6.730033573000858
Madagascar 3: Europe's Most Wanted,80321,6.311397520329012
Die Another Day,36669,5.9185910839013385
Ghostbusters,43074,5.503407670775308
Armageddon,95,6.329946385462804
Men in Black II,608,6.018035152018045
Beowulf,2310,5.777613169463097
Kung Fu Panda 3,140300,6.509105912410809
Mission: Impossible - Ghost Protocol,56292,6.689470726828219
Rise of the Guardians,81188,6.821080048128408
Fun with Dick and Jane,7552,6.004955945765849
The Last Samurai,616,6.962188941309592
Exodus: Gods and Kings,147441,5.737093243557457
Star Trek,13475,7.216756234040053
Spider-Man,557,6.713279864722614
How to Train Your Dragon 2,82702,7.311060852867828
Gods of Egypt,205584,5.5907482690481505
Stealth,10048,5.724251182028544
Watchmen,13183,6.811740844863322
Lethal Weapon 4,944,6.199110925887338
Hulk,1927,5.5579662576513975
G.I. Joe: Retaliation,72559,5.536069737673754
Sahara,7364,5.948153980364917
Final Fantasy: The Spirits Within,2114,6.022351463475011
Captain America: The First Avenger,1771,6.552079438370801
The World Is Not Enough,36643,6.043427563612066
Master and Commander: The Far Side of the World,8619,6.510941006872341
The Twilight Saga: Breaking Dawn - Part 2,50620,6.098696972495821
Happy Feet Two,65759,5.995373604680324
The Incredible Hulk,1724,6.098859222561527
The BFG,267935,6.039978352804317
The Revenant,281957,7.1753364250364475
Turbo,77950,6.097633115096604
Rango,44896,6.466222839518558
Penguins of Madagascar,270946,6.356353437963763
The Bourne Ultimatum,2503,7.054713112121776
Kung Fu Panda,9502,6.746931716161623
Ant-Man,102899,6.899049850849641
The Hunger Games: Catching Fire,101299,7.266845819287591
Home,228161,6.5693163695978285
War of the Worlds,74,6.174493344663343
Bad Boys II,8961,6.234048398000217
Puss in Boots,417859,6.210233393350863
Salt,27576,6.172429743154036
Noah,86834,5.718044498136842
The Adventures of Tintin,17578,6.540347467571021
Harry Potter and the Prisoner of Azkaban,673,7.5209558376290735
Australia,6972,6.193966041213762
After Earth,82700,5.246815228015751
Dinosaur,10567,6.139009291127394
Night at the Museum: Secret of the Tomb,181533,6.098343592040757
Megamind,38055,6.531750099038788
Harry Potter and the Philosopher's Stone,671,7.366108657325176
R.I.P.D.,49524,5.656301570962453
Pirates of the Caribbean: The Curse of the Black Pearl,22,7.365744563029783
The Hunger Games: Mockingjay - Part 1,131631,6.540989067151387
The Da Vinci Code,591,6.413035707684875
Rio 2,172385,6.211519899736228
X2,36658,6.677332953457641
Fast Five,51497,6.866402893401826
Sherlock Holmes: A Game of Shadows,58574,6.85551257445604
Clash of the Titans,18823,5.722693953205688
Total Recall,861,6.796920281102144
The 13th Warrior,1911,6.219208327052105
The Bourne Legacy,49040,6.020499450493581
Batman & Robin,415,4.848092038041058
How the Grinch Stole Christmas,8871,6.163250477041442
The Day After Tomorrow,435,6.175063872183256
Mission: Impossible II,955,5.953728151565373
The Perfect Storm,2133,6.141522958409516
4: Rise of the Silver Surfer,1979,5.553904220050353
Life of Pi,87827,7.075195101078506
Ghost Rider,1250,5.469223265155134
Jason Bourne,324668,5.94652018450463
Charlie's Angels: Full Throttle,9471,5.59931116439449
Prometheus,70981,6.273908446583154
Stuart Little 2,10996,5.779090994444651
Elysium,68724,6.345998416855622
The Chronicles of Riddick,2789,6.234219886456121
RoboCop,97020,5.794402464035558
Speed Racer,7459,5.9663420870338975
How Do You Know,42888,5.816931169180114
Knight and Day,37834,5.962688723133071
Oblivion,75612,6.3592708601349885
Star Wars: Episode III - Revenge of the Sith,1895,6.947164394354075
Star Wars: Episode II - Attack of the Clones,1894,6.352312588645205
"Monsters, Inc.",585,7.346025453032969
The Wolverine,76170,6.268314870681035
Star Wars: Episode I - The Phantom Menace,1893,6.27063785433746
The Croods,49519,6.6340387017368085
Astérix aux Jeux Olympiques,2395,5.667738839882085
Windtalkers,12100,6.001170503474734
The Huntsman: Winter's War,290595,6.030728771509621
Teenage Mutant Ninja Turtles,98566,5.864313735881874
Gravity,49047,7.162944037604608
Dante's Peak,9619,5.9494314783333335
Teenage Mutant Ninja Turtles: Out of the Shadows,308531,5.927587408407821
Fantastic Four,166424,4.814346671529597
Night at the Museum,1593,6.2578309176267535
San Andreas,254128,6.018745753069086
Tomorrow Never Dies,714,6.041781887517292
The Patriot,2024,6.516559971683909
Ocean's Twelve,163,6.321182033198497
Mr. & Mrs. Smith,787,6.4191660737332885
Insurgent,262500,6.182910848132596
The Aviator,2567,6.699960650346957
Gulliver's Travels,38745,5.548297672430991
The Green Hornet,40805,5.72037334070782
300: Rise of an Empire,53182,6.098632122506778
The Smurfs,41513,5.728652433079833
Home on the Range,13700,5.958066922323568
Allegiant,262504,5.952353276548163
Real Steel,39254,6.491226822568158
The Smurfs 2,77931,5.805907426176265
Speed 2: Cruise Control,1639,5.355409635507895
Ender's Game,80274,6.477310438413911
Live Free or Die Hard,1571,6.3202060456385984
The Lord of the Rings: The Fellowship of the Ring,120,7.851147724437119
Around the World in 80 Days,10204,5.906252137635686
Ali,8489,6.322804886447868
The Cat in the Hat,10588,5.698108190301314
"I, Robot",2048,6.6013822730377445
